Timestamp,From Bank,Account,To Bank,Account,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/01 23:20,0216,81789E390,0216,81789E390,115103.45,US Dollar,115103.45,US Dollar,Reinvestment,0
2022/09/01 23:13,0163897,8176EAEC0,0163897,8176EAEC0,46.95,US Dollar,46.95,US Dollar,Reinvestment,0
2022/09/01 23:28,070,10042BA08,0263025,8178B34D0,714.63,US Dollar,714.63,US Dollar,Cheque,0
2022/09/01 23:20,070,10042BA08,0263025,8178B34D0,115.36,US Dollar,115.36,US Dollar,Credit Card,0
2022/09/01 23:19,0363895,8178B9520,0363895,8178B9520,45550.26,US Dollar,45550.26,US Dollar,Reinvestment,0
2022/09/01 23:01,0163233,8178C6B90,0163233,8178C6B90,69.27,US Dollar,69.27,US Dollar,Reinvestment,0
2022/09/01 23:01,0063779,81750C300,0018,8178CB620,71110.11,US Dollar,71110.11,US Dollar,Cheque,0
2022/09/01 23:28,0063779,81750C300,0018,8178CB620,47257.73,US Dollar,47257.73,US Dollar,Credit Card,0
2022/09/01 23:07,0063779,81750C300,0018,8178CB620,55483.32,US Dollar,55483.32,US Dollar,ACH,0
2022/09/01 23:03,0217,817151DD0,0018,8178E1B80,1826.80,US Dollar,1826.80,US Dollar,Cheque,0
2022/09/01 23:23,0363979,8178DFEA0,0163470,8178D0BE0,2877.40,US Dollar,2877.40,US Dollar,Cheque,0
2022/09/01 23:19,0064059,8178D0850,0064059,8178D0850,49.84,US Dollar,49.84,US Dollar,Reinvestment,0
2022/09/01 23:09,0163233,81754D950,0163233,8179921F0,352.98,US Dollar,352.98,US Dollar,Cheque,0
2022/09/01 23:22,0163233,81754D950,0163233,8179921F0,1035.92,US Dollar,1035.92,US Dollar,Credit Card,0
2022/09/01 23:15,0163233,8174894D0,0163470,817993840,1234.67,US Dollar,1234.67,US Dollar,Cheque,0
2022/09/01 23:01,0163233,8174894D0,0163470,817993840,1583.20,US Dollar,1583.20,US Dollar,Credit Card,0
2022/09/01 23:29,0216,81735AFE0,0163233,8179A7B40,1097.83,US Dollar,1097.83,US Dollar,Cheque,0
2022/09/01 23:09,0263431,8179AFB80,0263431,8179AFB80,603342.24,US Dollar,603342.24,US Dollar,Reinvestment,0
2022/09/01 23:03,0115,817358000,0163233,8179B1CF0,12227384.85,US Dollar,12227384.85,US Dollar,Cheque,0
2022/09/01 23:13,0115,817358000,0163233,8179B1CF0,39314.62,US Dollar,39314.62,US Dollar,Credit Card,0
2022/09/01 23:18,0115,817358000,0163233,8179B1CF0,10320591.25,US Dollar,10320591.25,US Dollar,Cash,0
2022/09/01 23:22,0115,817358000,0163233,8179B1CF0,3904319.36,US Dollar,3904319.36,US Dollar,ACH,0
2022/09/01 23:06,0115,817358000,0163233,8179B1CF0,135440.65,US Dollar,135440.65,US Dollar,Wire,0
2022/09/01 23:06,0018,8175DC100,0063779,8179B4AA0,4243.15,US Dollar,4243.15,US Dollar,Cheque,0
2022/09/01 23:08,0018,8175DC100,0063779,8179B4AA0,1180.44,US Dollar,1180.44,US Dollar,Credit Card,0
2022/09/01 23:06,0263574,8179CB8D0,0263574,8179CB8D0,70.64,US Dollar,70.64,US Dollar,Reinvestment,0
2022/09/01 23:04,0263186,8179D38B0,0263186,8179D38B0,15.83,US Dollar,15.83,US Dollar,Reinvestment,0
2022/09/01 23:16,0018,817391E40,0063834,8179DBB00,250.30,US Dollar,250.30,US Dollar,Cheque,0
2022/09/01 23:28,0018,817391E40,0063834,8179DBB00,345.07,US Dollar,345.07,US Dollar,Cash,0
2022/09/01 23:20,0018,817391E40,0063834,8179DBB00,11.19,US Dollar,11.19,US Dollar,ACH,0
2022/09/01 23:10,0018,817391E40,0063834,8179DBB00,5.90,US Dollar,5.90,US Dollar,Wire,0
2022/09/01 23:05,0163233,8179EAE30,0163233,8179EAE30,1390248.43,US Dollar,1390248.43,US Dollar,Reinvestment,0
2022/09/01 23:16,0063587,8174A6BC0,0163233,8179F31F0,102438.85,US Dollar,102438.85,US Dollar,Cheque,0
2022/09/14 23:25,0063587,8174A6BC0,0163233,8179F31F0,73521.99,US Dollar,0.1,US Dollar,Credit Card,0
2022/09/01 23:15,0163233,8179F31F0,0163233,8179F31F0,54.52,US Dollar,54.52,US Dollar,Reinvestment,0
2022/09/01 23:14,0163470,8179F7300,0163470,8179F7300,19.64,US Dollar,19.64,US Dollar,Reinvestment,0
2022/09/01 23:27,0363869,817A18480,0263574,817A18340,0.01,US Dollar,0.01,US Dollar,Cheque,0
2022/09/01 23:00,0063779,817A26680,0063779,817A26680,77.19,US Dollar,77.19,US Dollar,Reinvestment,0
2022/09/01 23:21,0263574,817A1FE00,0263574,817A1FE00,54212.54,US Dollar,54212.54,US Dollar,Reinvestment,0
2022/09/01 23:21,0163470,817A037D0,0163233,817A2D490,409.34,US Dollar,409.34,US Dollar,Cheque,0
2022/09/01 23:03,0163470,817A037D0,0163233,817A2D490,513.84,US Dollar,513.84,US Dollar,Credit Card,0
2022/09/01 23:05,070,10042BA08,0063940,817A2F940,536.24,US Dollar,536.24,US Dollar,Cheque,0
2022/09/01 23:06,070,10042BA08,0063940,817A2F940,843.38,US Dollar,843.38,US Dollar,Credit Card,0
2022/09/01 23:13,0163233,8179C5BD0,0163233,8179C5BD0,67.46,US Dollar,67.46,US Dollar,Reinvestment,0
2022/09/01 23:22,0063779,8176A9C50,0064657,817A5A880,1906.35,US Dollar,1906.35,US Dollar,Cheque,0
2022/09/01 23:21,0063779,8176A9C50,0064657,817A5A880,18670.48,US Dollar,18670.48,US Dollar,Credit Card,0
2022/09/01 23:18,0216,8174F08D0,0163233,817A5FC90,8867.48,US Dollar,8867.48,US Dollar,Cheque,0
2022/09/01 23:08,0216,8174F08D0,0163233,817A5FC90,6388.71,US Dollar,6388.71,US Dollar,ACH,0
2022/09/01 23:21,0063940,817A6C6B0,0063940,817A6C6B0,55.72,US Dollar,55.72,US Dollar,Reinvestment,0
2022/09/01 23:06,070,10042BA08,0163470,817A6EB90,14070.18,US Dollar,14070.18,US Dollar,Cheque,0
2022/09/01 23:22,0263025,8173B6220,0063940,817A71FE0,1203.40,US Dollar,1203.40,US Dollar,Cheque,0
2022/09/01 23:26,0216,817A7B400,0216,817A7B400,93.43,US Dollar,93.43,US Dollar,Reinvestment,0
2022/09/01 23:19,0064657,817A89000,0064657,817A89000,353259.59,US Dollar,353259.59,US Dollar,Reinvestment,0
2022/09/01 23:26,0217,8174A4590,0217,817A9D140,19026.68,US Dollar,19026.68,US Dollar,Cheque,0
2022/09/01 23:19,0217,8174A4590,0217,817A9D140,1085.79,US Dollar,1085.79,US Dollar,Credit Card,0
2022/09/01 23:29,0217,8174A4590,0217,817A9D140,1471.41,US Dollar,1471.41,US Dollar,ACH,0
2022/09/01 23:17,0263574,817AA6C20,0263574,817AA6C20,14940.33,US Dollar,14940.33,US Dollar,Reinvestment,0
2022/09/01 23:08,0115,8179F2E00,0263025,817AAED90,630.01,US Dollar,630.01,US Dollar,Cheque,0
2022/09/01 23:10,0115,8179F2E00,0263025,817AAED90,1267.75,US Dollar,1267.75,US Dollar,Credit Card,0
2022/09/01 23:04,0163470,817521090,0018,817AAFD10,682.69,US Dollar,682.69,US Dollar,Cheque,0
2022/09/01 23:29,0163470,817521090,0018,817AAFD10,2970.53,US Dollar,2970.53,US Dollar,Credit Card,0
2022/09/01 23:07,0163470,817521090,0018,817AAFD10,1996.85,US Dollar,1996.85,US Dollar,ACH,0
2022/09/01 23:10,0240478,8166157D0,0240478,8166157D0,5149.20,US Dollar,1372.72,US Dollar,ACH,0
2022/09/01 23:10,0240478,8166157D0,0163897,817AB0BE0,5149.20,US Dollar,5149.20,US Dollar,Cheque,0
2022/09/01 23:10,0240478,8166157D0,0240478,8166157D0,4483.53,US Dollar,1195.26,US Dollar,ACH,0
2022/09/01 23:10,0240478,8166157D0,0163897,817AB0BE0,4483.53,US Dollar,4483.53,US Dollar,Credit Card,0
2022/09/01 23:20,070,10042BA08,0063940,817AB1BB0,35696.83,US Dollar,35696.83,US Dollar,Cheque,0
2022/09/01 23:02,070,10042BA08,0063940,817AB1BB0,27867.18,US Dollar,27867.18,US Dollar,Credit Card,0
2022/09/01 23:22,0216,8172FF620,0263574,817AB2150,738.71,US Dollar,738.71,US Dollar,Cheque,0
2022/09/01 23:23,0216,8172FF620,0263574,817AB2150,391.99,US Dollar,391.99,US Dollar,Cash,0
2022/09/01 23:05,0263186,817AB2D20,0263186,817AB2D20,408320.56,US Dollar,408320.56,US Dollar,Reinvestment,0
2022/09/01 23:05,0163470,8177D5130,0163470,8177D5130,113645.03,US Dollar,113645.03,US Dollar,Reinvestment,0
2022/09/01 23:27,0217,817991FB0,0217,817991FB0,25897.10,US Dollar,25897.10,US Dollar,Reinvestment,0
2022/09/01 23:16,0363869,817ABC370,0018,817ABCFD0,0.08,US Dollar,0.08,US Dollar,Cheque,0
2022/09/01 23:18,0064059,817AC03E0,0064059,817AC03E0,37.36,US Dollar,37.36,US Dollar,Reinvestment,0
2022/09/01 23:20,0115,817567A70,0063779,817ADB930,54440.91,US Dollar,54440.91,US Dollar,Cheque,0
2022/09/01 23:17,0115,817567A70,0063779,817ADB930,97619.96,US Dollar,97619.96,US Dollar,Credit Card,0
2022/09/01 23:14,0115,8175D8C80,0163233,817AF0B10,1734640.24,US Dollar,1734640.24,US Dollar,Cheque,0
2022/09/01 23:27,0115,8175D8C80,0163233,817AF0B10,777888.57,US Dollar,777888.57,US Dollar,Cash,0
2022/09/01 23:11,0063940,81760A8B0,0264152,817B00DF0,943.71,US Dollar,943.71,US Dollar,Cheque,0
2022/09/01 23:04,0063940,81760A8B0,0264152,817B00DF0,20.59,US Dollar,20.59,US Dollar,Cash,0
2022/09/01 23:26,0163470,817AF4990,0163470,817AF4990,25449.49,US Dollar,25449.49,US Dollar,Reinvestment,0
2022/09/01 23:27,0064657,817B19D50,0064657,817B19D50,2063.58,US Dollar,2063.58,US Dollar,Reinvestment,0
2022/09/01 23:00,0263431,817B131D0,0263431,817AEA180,5320.00,US Dollar,5320.00,US Dollar,ACH,0
2022/09/01 23:17,0063940,817AE83B0,0063940,817AE83B0,45.13,US Dollar,45.13,US Dollar,Reinvestment,0
2022/09/01 23:27,0064657,817ADF410,0064657,817ADF410,83.84,US Dollar,83.84,US Dollar,Reinvestment,0
2022/09/01 23:09,0217,81732A850,0264152,817B46450,6233.42,US Dollar,6233.42,US Dollar,Cheque,0
2022/09/01 23:19,0216,8176EA860,0263186,817B64060,3586.07,US Dollar,3586.07,US Dollar,Cheque,0
2022/09/01 23:15,0216,8176EA860,0263186,817B64060,4677.86,US Dollar,4677.86,US Dollar,Credit Card,0
2022/09/01 23:22,0064059,817B7EAA0,0064059,817B7EAA0,16238.43,US Dollar,16238.43,US Dollar,Reinvestment,0
2022/09/01 23:24,070,10042BA08,0263431,817B86120,613.69,US Dollar,613.69,US Dollar,Cheque,0
2022/09/01 23:20,070,10042BA08,0263431,817B86120,1148.17,US Dollar,1148.17,US Dollar,Credit Card,0
2022/09/01 23:05,0063779,8175F09A0,0163897,817B869F0,804.68,US Dollar,804.68,US Dollar,Cheque,0
2022/09/01 23:28,0163233,817B99870,0163233,817B99870,73.72,US Dollar,73.72,US Dollar,Reinvestment,0
2022/09/01 23:10,0064059,817A2DF70,0263025,817D13B40,50231.07,US Dollar,50231.07,US Dollar,Cheque,0
2022/09/01 23:09,0064059,817A2DF70,0263025,817D13B40,14180.89,US Dollar,14180.89,US Dollar,Credit Card,0
2022/09/01 23:24,0064059,817A2DF70,0263025,817D13B40,36318.27,US Dollar,36318.27,US Dollar,Cash,0
2022/09/01 23:05,0217,8172FA010,0263574,817D18E10,15297.16,US Dollar,15297.16,US Dollar,Cheque,0
2022/09/01 23:01,0217,8172FA010,0263574,817D18E10,4813.27,US Dollar,4813.27,US Dollar,Credit Card,0
2022/09/01 23:10,0217,8172FA010,0263574,817D18E10,151.29,US Dollar,151.29,US Dollar,ACH,0
2022/09/01 23:29,0217,817D1ED80,0217,817D1ED80,28.35,US Dollar,28.35,US Dollar,Reinvestment,0
2022/09/01 23:13,0063587,817D34AC0,0063587,817D34AC0,6077.21,US Dollar,6077.21,US Dollar,Reinvestment,0
2022/09/01 23:27,0163470,817D34CF0,0163470,817D34CF0,501.35,US Dollar,501.35,US Dollar,Reinvestment,0
2022/09/01 23:01,0063587,817AAE970,0064057,817D39CB0,1560.96,US Dollar,1560.96,US Dollar,Cheque,0
2022/09/01 23:27,0063587,817AAE970,0064057,817D39CB0,3059.90,US Dollar,3059.90,US Dollar,ACH,0
2022/09/01 23:13,0217,817320360,0064057,817D3CD80,489.13,US Dollar,489.13,US Dollar,Cheque,0
2022/09/01 23:22,0217,817320360,0064057,817D3CD80,312.99,US Dollar,312.99,US Dollar,Credit Card,0
2022/09/01 23:09,0164730,817D331D0,0164730,817D331D0,55.26,US Dollar,55.26,US Dollar,Reinvestment,0
2022/09/01 23:21,0364456,817D1CBC0,0364456,817D1CBC0,2648.18,US Dollar,2648.18,US Dollar,Reinvestment,0
2022/09/01 23:16,0365143,817D2EA50,0365143,817D2EA50,16581.10,US Dollar,16581.10,US Dollar,Reinvestment,0
2022/09/01 23:02,0064059,817D4FBF0,0064059,817D4FBF0,410.82,US Dollar,410.82,US Dollar,Reinvestment,0
2022/09/01 23:16,0263025,81731CEE0,0163233,817E070F0,770.49,US Dollar,770.49,US Dollar,Cheque,0
2022/09/01 23:00,0263025,81731CEE0,0163233,817E070F0,810.50,US Dollar,810.50,US Dollar,Cash,0
2022/09/01 23:11,0063779,817E08500,0063779,817E08500,25.91,US Dollar,25.91,US Dollar,Reinvestment,0
2022/09/01 23:18,0264152,817E0BBD0,0264152,817E0BBD0,41.88,US Dollar,41.88,US Dollar,Reinvestment,0
2022/09/01 23:02,0263574,817E2E4C0,0263574,817E2E4C0,21.50,US Dollar,21.50,US Dollar,Reinvestment,0
2022/09/01 23:10,0063834,817E23F60,0063834,817E23F60,25880.67,US Dollar,25880.67,US Dollar,Reinvestment,0
2022/09/01 23:05,0364698,817E2A8A0,0364698,817E2A8A0,22415.82,US Dollar,22415.82,US Dollar,Reinvestment,0
2022/09/01 23:24,0263574,8176F57D0,0064059,817E36C00,4248.83,US Dollar,4248.83,US Dollar,Cheque,0
2022/09/01 23:16,0263574,8176F57D0,0064059,817E36C00,2683.77,US Dollar,2683.77,US Dollar,Cash,0
2022/09/01 23:05,0063779,8179B4AA0,0263574,817E47270,70373.59,US Dollar,70373.59,US Dollar,Cheque,0
2022/09/01 23:13,0063779,8179B4AA0,0263574,817E47270,58283.04,US Dollar,58283.04,US Dollar,Credit Card,0
2022/09/01 23:14,0064657,817E15610,0064657,817E15700,5079945.00,US Dollar,5079945.00,US Dollar,Cheque,0
2022/09/01 23:09,0263574,8179BAC00,0063587,817E52690,30640.68,US Dollar,30640.68,US Dollar,Cheque,0
2022/09/01 23:02,0263574,8179BAC00,0063587,817E52690,15838.85,US Dollar,15838.85,US Dollar,Credit Card,0
2022/09/01 23:23,0064059,817E36C00,0064059,817E12CB0,39229.69,US Dollar,39229.69,US Dollar,Cheque,0
2022/09/01 23:19,0163233,817AEB760,0115,817E9D7C0,4968.37,US Dollar,4968.37,US Dollar,Cheque,0
2022/09/01 23:29,0163233,817AEB760,0115,817E9D7C0,1265.07,US Dollar,1265.07,US Dollar,Credit Card,0
2022/09/01 23:01,0216,817EBDE30,0018,817EBD180,1241634.00,US Dollar,1241634.00,US Dollar,Cheque,0
2022/09/01 23:16,0164686,817EBCA80,0164686,817EBCA80,54.80,US Dollar,54.80,US Dollar,Reinvestment,0
2022/09/14 23:25,0217,817ECB410,0217,817ECB410,49.48,US Dollar,49.48,US Dollar,Reinvestment,0
2022/09/01 23:29,0063834,8176EE080,0064059,817ED41B0,15966.52,US Dollar,15966.52,US Dollar,Cheque,0
2022/09/01 23:01,0063834,8176EE080,0064059,817ED41B0,18392.26,US Dollar,18392.26,US Dollar,Credit Card,0
2022/09/01 23:08,0063779,817629350,0064657,817ED6180,626.61,US Dollar,626.61,US Dollar,Cheque,0
2022/09/01 23:19,0063779,817629350,0064657,817ED6180,4050.58,US Dollar,4050.58,US Dollar,Cash,0
2022/09/01 23:03,0318508,817ECF1B0,0318508,817ECF1B0,1501744.72,Yen,1501744.72,Yen,Reinvestment,0
2022/09/01 23:02,0115,817EE39D0,0115,817EE39D0,77.56,US Dollar,77.56,US Dollar,Reinvestment,0
2022/09/01 23:19,0263431,817EE4A40,0263431,817EE4A40,326098.06,US Dollar,326098.06,US Dollar,Reinvestment,0
2022/09/01 23:15,0063940,8176A24F0,0217,817EE7FC0,21314.02,US Dollar,21314.02,US Dollar,Cheque,0
2022/09/01 23:11,0018,817EE8640,0018,817EE8640,641860.28,US Dollar,641860.28,US Dollar,Reinvestment,0
2022/09/01 23:18,0065300,817EEDA70,0065300,817EEDA70,66.20,US Dollar,66.20,US Dollar,Reinvestment,0
2022/09/14 23:25,0163233,817EF32B0,0163233,817EF32B0,33077.56,US Dollar,0.1,US Dollar,Reinvestment,0
2022/09/01 23:17,070,10042BA08,0163470,817EFFB90,826.02,US Dollar,826.02,US Dollar,Cheque,0
2022/09/01 23:19,070,10042BA08,0163470,817EFFB90,2086.70,US Dollar,2086.70,US Dollar,Cash,0
2022/09/01 23:16,0264772,817F06DE0,0264772,817F06DE0,20.83,US Dollar,20.83,US Dollar,Reinvestment,0
2022/09/01 23:11,0263431,817F19050,0263431,817F19050,687046.63,US Dollar,687046.63,US Dollar,Reinvestment,0
2022/09/01 23:00,0163470,817801D20,0264772,817F19F40,6447.35,US Dollar,6447.35,US Dollar,Cheque,0
2022/09/01 23:17,0163470,817801D20,0264772,817F19F40,31230.85,US Dollar,31230.85,US Dollar,Credit Card,0
2022/09/01 23:02,0063779,8179B4AA0,0064057,817F393D0,1038813.89,US Dollar,1038813.89,US Dollar,Cheque,0
2022/09/01 23:29,0063779,8179B4AA0,0064057,817F393D0,543751.71,US Dollar,543751.71,US Dollar,ACH,0
2022/09/01 23:22,0164730,817F39AA0,0164730,817F39AA0,63.48,US Dollar,63.48,US Dollar,Reinvestment,0
2022/09/14 23:07,0364847,817F3FD60,0216,817F0E8A0,0.01,US Dollar,0.01,US Dollar,Cash,0
2022/09/01 23:12,0018,817F41A90,0018,817F41A90,381296.36,US Dollar,381296.36,US Dollar,Reinvestment,0
2022/09/01 23:21,0217,8171F77C0,0165362,817F50FD0,78219.54,US Dollar,78219.54,US Dollar,Cheque,0
2022/09/01 23:14,0217,8171F77C0,0165362,817F50FD0,73772.18,US Dollar,73772.18,US Dollar,Credit Card,0
2022/09/01 23:23,0217,8171F77C0,0165362,817F50FD0,532210.05,US Dollar,532210.05,US Dollar,Cash,0
2022/09/01 23:04,0263025,817A04EE0,0264152,817F52130,161.56,US Dollar,161.56,US Dollar,Cheque,0
2022/09/01 23:26,0263025,817A04EE0,0264152,817F52130,124.46,US Dollar,124.46,US Dollar,Credit Card,0
2022/09/01 23:00,0263025,817A04EE0,0264152,817F52130,54.23,US Dollar,54.23,US Dollar,Cash,0
2022/09/01 23:02,0263025,817A04EE0,0264152,817F52130,35.09,US Dollar,35.09,US Dollar,ACH,0
2022/09/01 23:02,0165362,817F55EF0,0165362,817F55EF0,5710595.18,US Dollar,5710595.18,US Dollar,Reinvestment,0
2022/09/01 23:29,0063940,817E41930,0164730,817F61560,755.93,US Dollar,755.93,US Dollar,Cheque,0
2022/09/01 23:27,0063940,817E41930,0164730,817F61560,437.22,US Dollar,437.22,US Dollar,Credit Card,0
2022/09/01 23:27,0063940,817E41930,0164730,817F61560,252.66,US Dollar,252.66,US Dollar,Cash,0
2022/09/01 23:08,0163470,817F60280,0163470,817F60280,1265.36,US Dollar,1265.36,US Dollar,Reinvestment,0
2022/09/01 23:21,0164686,817F63150,0164686,817F63150,36.51,US Dollar,36.51,US Dollar,Reinvestment,0
2022/09/01 23:27,0065300,817EF2D70,0163470,817F63C20,67819.52,US Dollar,67819.52,US Dollar,Cheque,0
2022/09/01 23:04,0065300,817EF2D70,0163470,817F63C20,32889.73,US Dollar,32889.73,US Dollar,Credit Card,0
2022/09/01 23:13,0065300,817EF2D70,0163470,817F63C20,8312.14,US Dollar,8312.14,US Dollar,ACH,0
2022/09/01 23:04,0263431,817E49770,0164686,817F659F0,828.33,US Dollar,828.33,US Dollar,Cheque,0
2022/09/01 23:16,0263431,817E49770,0164686,817F659F0,568.05,US Dollar,568.05,US Dollar,Credit Card,0
2022/09/01 23:01,0263431,817E49770,0164686,817F659F0,557.21,US Dollar,557.21,US Dollar,Cash,0
2022/09/01 23:15,0063940,817F09640,0063940,817F09640,36497.03,US Dollar,36497.03,US Dollar,Reinvestment,0
