Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/02 20:31,17768,80351A1B0,212840,8052CC9C0,2466.02,Yuan,2466.02,Yuan,Credit Card,0
2022/09/03 01:30,12055,802CA8FD0,15461,802CBD1B0,1014.83,Euro,1014.83,Euro,ACH,0
2022/09/03 21:44,70,10042B660,1422,800365000,301822.79,US Dollar,301822.79,US Dollar,Cheque,0
2022/09/01 11:35,216796,807663190,216796,807663190,10.79,US Dollar,10.79,US Dollar,Reinvestment,0
2022/09/10 15:31,41428,80F3300A0,141204,80F374960,528.62,Australian Dollar,528.62,Australian Dollar,Credit Card,0
2022/09/01 04:42,213504,805354100,213504,805354100,12819.34,Yuan,12819.34,Yuan,Reinvestment,0
2022/09/09 05:47,123568,808AD1CE0,25,808AD3190,257480.4,Rupee,257480.4,Rupee,ACH,1
2022/09/08 19:25,59700,81613DCF0,260288,8165D3CE0,8940.63,Shekel,8940.63,Shekel,Cheque,0
2022/09/09 11:06,12,803B94530,215456,8060959C0,6388.72,US Dollar,6388.72,US Dollar,Wire,0
2022/09/03 18:28,1217,8050E4320,49280,816AEEB30,666.47,US Dollar,666.47,US Dollar,Credit Card,0
2022/09/10 12:20,600,800481330,217519,808644710,5988.16,Euro,5988.16,Euro,Cash,0
2022/09/04 11:50,11,80024FCC0,237160,810620BA0,38.47,Euro,38.47,Euro,Cheque,0
2022/09/01 12:49,1394,800D81930,12,8103EE020,444457.86,US Dollar,444457.86,US Dollar,ACH,0
2022/09/01 18:41,214342,80961F050,214342,80961F050,192.87,US Dollar,192.87,US Dollar,Reinvestment,0
2022/09/07 00:07,148894,812993F60,149453,812FC3910,95.48,Brazil Real,95.48,Brazil Real,Credit Card,0
2022/09/02 11:19,20,80086CCA0,1120,800F60190,2160.4,US Dollar,2160.4,US Dollar,Cheque,0
2022/09/09 00:35,498,80B944D40,122416,81AAEE0D0,631.0,Euro,631.0,Euro,Credit Card,0
2022/09/07 05:58,170727,819F60F11,171474,81BE72441,0.363072,Bitcoin,0.363072,Bitcoin,Bitcoin,0
2022/09/01 00:13,11255,805AAFC80,11255,805AAFC80,25989.04,US Dollar,25989.04,US Dollar,Reinvestment,0
2022/09/01 07:03,141259,811A6C470,141259,811A6C470,10.45,Euro,10.45,Euro,Reinvestment,0
2022/09/01 03:28,3,8003AA400,17319,80ACAFD90,6989.76,Euro,6989.76,Euro,Credit Card,0
2022/09/08 00:10,118293,80DE5DB50,14195,801948230,390.33,Euro,390.33,Euro,Credit Card,0
2022/09/09 00:30,19182,80748F550,228752,80B690E60,411.22,US Dollar,411.22,US Dollar,Cash,0
2022/09/02 19:48,70,10042B660,18324,810CFE290,5152.81,US Dollar,5152.81,US Dollar,Credit Card,0
2022/09/01 00:01,39194,817065450,39194,817065450,7.55,Euro,7.55,Euro,Reinvestment,0
2022/09/01 00:24,148894,811F245A0,148894,811F245A0,29374.5,Brazil Real,29374.5,Brazil Real,Reinvestment,0
2022/09/02 16:12,15461,801F9C3F0,48055,814129350,12892.88,Euro,12892.88,Euro,Credit Card,0
2022/09/06 13:17,115,8173328B0,164686,817B75A90,1807.53,Saudi Riyal,1807.53,Saudi Riyal,ACH,0
2022/09/01 21:29,111425,80440CD00,110164,8051769A0,143.03,Yuan,143.03,Yuan,Cheque,0
2022/09/01 06:59,1110,8007B8980,1110,8007B8980,325.0,US Dollar,325.0,US Dollar,Reinvestment,0
2022/09/06 10:45,692,80F8FB170,692,80F8FB170,125.89,US Dollar,843.16,Yuan,ACH,0
2022/09/09 09:03,312920,805569EE0,213734,80556B8C0,840.04,Yuan,840.04,Yuan,Cheque,0
2022/09/06 13:29,13,810FD2090,13,810FD2130,89326.93,Mexican Peso,89326.93,Mexican Peso,ACH,0
2022/09/07 15:26,70,10042B660,13243,80B008610,4317.59,US Dollar,4317.59,US Dollar,Cheque,0
2022/09/01 06:43,70,10042B660,54765,8161D5280,1942.37,US Dollar,1942.37,US Dollar,Cheque,0
2022/09/07 12:30,149205,8122A9A80,49750,81300F410,8226.12,Brazil Real,8226.12,Brazil Real,Cheque,0
2022/09/09 11:56,2514,802678F60,215505,806CEE200,1556.38,Euro,1556.38,Euro,Cheque,0
2022/09/04 08:33,11437,80A839660,17059,80A83A130,1350.27,Euro,1350.27,Euro,ACH,0
2022/09/06 14:51,25384,80236FC20,25885,80D088B20,11045.38,Euro,11045.38,Euro,Credit Card,0
2022/09/02 09:02,248623,812A6B8D0,49096,812B98920,27199.09,Brazil Real,27199.09,Brazil Real,ACH,0
2022/09/02 19:53,12503,80140CA20,15400,81648A6E0,18.63,Euro,18.63,Euro,Credit Card,0
2022/09/02 02:06,212996,8079D20F0,3440,80810AB60,5785.81,US Dollar,5785.81,US Dollar,Cheque,0
2022/09/09 14:09,131371,811B7A7A0,21048,814557F10,161.31,Euro,161.31,Euro,Credit Card,0
2022/09/02 02:00,18,80AFF8B20,32245,80BEA4350,32711.49,Ruble,32711.49,Ruble,Cheque,0
2022/09/06 17:52,1835,800935D80,7058,802FA9660,1597.31,Euro,1597.31,Euro,Cash,0
2022/09/01 00:07,317718,80814FEC0,317718,80814FEC0,902927.82,Yen,902927.82,Yen,Reinvestment,0
2022/09/05 06:07,70,10042B660,140797,810FE86B0,735.15,US Dollar,735.15,US Dollar,Cheque,0
2022/09/07 04:12,12063,808DF9120,212518,8147B3E90,794.63,US Dollar,794.63,US Dollar,Credit Card,0
2022/09/09 15:49,40989,80F9CDDB0,142146,810A56500,7.21,Australian Dollar,7.21,Australian Dollar,Credit Card,0
2022/09/02 16:36,15,8018B7730,692,802F4BB80,34360.95,Yuan,34360.95,Yuan,Credit Card,0
2022/09/09 14:57,111913,805EDA420,137029,80DDB20D0,178.91,US Dollar,178.91,US Dollar,Credit Card,0
2022/09/02 23:31,63779,81789E760,115,8178F02B0,7142.45,Saudi Riyal,7142.45,Saudi Riyal,Cheque,0
2022/09/02 02:53,394,800219F80,3389,8017EF110,2503.66,US Dollar,2503.66,US Dollar,Cheque,0
2022/09/09 16:03,27356,803BADFA0,19970,80436A500,33.73,Yuan,33.73,Yuan,Cheque,0
2022/09/07 03:13,3718,8017643B0,1889,8165EAE80,789.91,US Dollar,789.91,US Dollar,Cash,0
2022/09/01 00:25,531,800573CD0,531,8009C4490,516.7,US Dollar,516.7,US Dollar,Cheque,0
2022/09/03 14:56,22264,803AB10C0,211012,804D92980,201.24,Euro,201.24,Euro,Credit Card,0
2022/09/07 16:53,15607,813189450,1720,81976DCC0,192342.45,Euro,192342.45,Euro,Cash,0
2022/09/02 06:49,70,10042B660,222433,8138B2C20,1630.26,US Dollar,1630.26,US Dollar,Credit Card,0
2022/09/01 20:20,5033,8131EB810,5033,8131EB810,10.63,US Dollar,10.63,US Dollar,Reinvestment,0
2022/09/03 13:52,0,800B84680,1835,800BD5C30,4682.74,Euro,4682.74,Euro,Cheque,0
2022/09/01 00:05,213293,8051C49B0,213293,8051C49B0,50140691.9,Yuan,50140691.9,Yuan,Reinvestment,0
2022/09/07 00:19,3440,804608060,31653,817DDB880,373.54,US Dollar,373.54,US Dollar,Credit Card,0
2022/09/02 18:54,13395,8085C7820,22435,8167507A0,73.16,US Dollar,73.16,US Dollar,Cheque,0
2022/09/05 02:08,211,813EC9480,253721,8142E7490,190584.08,Swiss Franc,190584.08,Swiss Franc,Cheque,0
2022/09/05 19:10,11770,813454470,5687,81821F650,106646.14,US Dollar,106646.14,US Dollar,ACH,0
2022/09/02 21:50,3,8009376F0,22264,801293B00,2015.93,Euro,2015.93,Euro,Credit Card,0
2022/09/09 18:04,11,8002CEB50,425,80034F1E0,48273.27,Euro,48273.27,Euro,Cheque,0
2022/09/01 18:14,249331,81262E370,50901,812CD0820,2797.17,Brazil Real,2797.17,Brazil Real,Credit Card,0
2022/09/06 02:12,32125,816FA5F10,32125,816FA5F10,105.33,US Dollar,89.89,Euro,ACH,0
2022/09/10 00:15,16584,80B3E46A0,14558,80D4AC090,142899.22,Yuan,142899.22,Yuan,Cheque,0
2022/09/06 20:17,70,10042B6A8,5383,80263B160,140.53,Euro,140.53,Euro,Credit Card,0
2022/09/06 21:29,17213,80338F1C0,5923,80443E020,44236.25,Yuan,44236.25,Yuan,Cheque,0
2022/09/08 15:23,24523,8023FD8B0,16263,8061C5550,4.31,US Dollar,4.31,US Dollar,Cash,0
2022/09/05 08:17,18491,80AF6BAB0,23140,81317CF10,3055.14,Euro,3055.14,Euro,Credit Card,0
2022/09/07 11:47,11,800B5B3C0,113016,807C63410,2113.9,US Dollar,2113.9,US Dollar,Cheque,0
2022/09/06 01:01,2545,8047B73F0,124173,80EF46110,2248.51,US Dollar,2248.51,US Dollar,Credit Card,0
2022/09/09 06:12,5981,802330590,117861,806C98510,10.76,Euro,10.76,Euro,Cheque,0
2022/09/09 11:33,119732,8089BED30,123651,80A0A67E0,1521025.15,Rupee,1521025.15,Rupee,ACH,0
2022/09/01 00:20,330018,80AE634A0,330018,80AE634A0,9404.36,Euro,9404.36,Euro,Reinvestment,0
2022/09/09 15:03,113317,80D6C80B0,226659,80F8AF0D0,8809.77,US Dollar,8809.77,US Dollar,Cash,0
2022/09/07 16:40,119699,808E54250,124476,80EB0E8C0,114022.41,Rupee,114022.41,Rupee,Cheque,0
2022/09/06 12:01,236908,80E2EED70,136606,80E5A0110,107.64,Canadian Dollar,107.64,Canadian Dollar,Cheque,0
2022/09/08 11:06,26,8021B3110,19931,80429E120,2656.23,Yuan,2656.23,Yuan,Credit Card,0
2022/09/06 22:10,5571,809262230,163060,818886510,1189.01,US Dollar,1189.01,US Dollar,Credit Card,0
2022/09/02 06:52,223057,8179051E0,143569,818376390,264.78,US Dollar,264.78,US Dollar,Wire,0
2022/09/07 17:19,16263,806FAC8A0,47532,8174428B0,11444.3,US Dollar,11444.3,US Dollar,ACH,0
2022/09/09 16:33,361312,816F87740,258196,816F88210,157.37,US Dollar,157.37,US Dollar,Cash,0
2022/09/09 08:44,19325,8196A7980,12966,81B6F3570,231.09,US Dollar,231.09,US Dollar,Cheque,0
2022/09/01 14:13,135982,81BDEFAD0,135982,81BDEFAD0,8.0,US Dollar,8.0,US Dollar,Reinvestment,0
2022/09/01 07:38,13821,8020342E0,12,80CFC45B0,8562.18,US Dollar,8562.18,US Dollar,Credit Card,0
2022/09/08 17:26,23726,80AD5A780,218604,80DD38FB0,323.17,Euro,323.17,Euro,Cheque,0
2022/09/08 22:28,1,8023F9E10,12966,802D66CA0,5873.05,US Dollar,5873.05,US Dollar,Cheque,0
2022/09/07 01:52,27,80B4D05E0,18,80BAA1520,3498.2,Ruble,3498.2,Ruble,Cheque,0
2022/09/09 04:55,14,8001A9680,0,800574A20,16210.72,Euro,16210.72,Euro,Cheque,0
2022/09/01 12:01,70,10042B738,215557,806F90800,2008518.54,Yen,2008518.54,Yen,Cheque,0
2022/09/09 12:29,20,800211630,1638,800992010,1958.55,US Dollar,1958.55,US Dollar,ACH,0
2022/09/08 02:03,110856,80D99AA10,112568,81640F250,3716.1,US Dollar,3716.1,US Dollar,Cash,0
2022/09/06 18:18,15607,8041766E0,24562,80B345DB0,899.4,Euro,899.4,Euro,Cheque,0
2022/09/03 02:46,224,800205290,28958,805C99830,475.02,US Dollar,475.02,US Dollar,Cheque,0
2022/09/08 19:09,11437,800D57A80,498,801FD5F80,216.85,Euro,216.85,Euro,Credit Card,0
2022/09/09 00:26,12,8029CCCE0,110198,803D1B4D0,43226.68,Yuan,43226.68,Yuan,Credit Card,0
2022/09/09 20:13,25,8089DD9F0,123800,80905A1B0,8424.85,Rupee,8424.85,Rupee,Cheque,0
2022/09/01 10:07,214,811DD2110,49700,8126617D0,2488.35,Brazil Real,2488.35,Brazil Real,Cheque,0
2022/09/03 19:48,11265,800B73CF0,1277,8020AA8A0,1605.76,US Dollar,1605.76,US Dollar,Cheque,0
2022/09/01 00:25,17,80D319950,17,80D319950,16195.4,Canadian Dollar,16195.4,Canadian Dollar,Reinvestment,0
2022/09/09 20:54,216796,80A234E70,233005,812EC17A0,89.47,US Dollar,89.47,US Dollar,Credit Card,0
2022/09/05 19:44,14620,80265A6F0,2514,8038741D0,1066.78,Euro,1066.78,Euro,Cheque,0
2022/09/02 14:33,32941,8102F3520,35086,8102F1B90,66.78,US Dollar,66.78,US Dollar,ACH,0
2022/09/06 22:53,125222,80974A800,123651,80AC101F0,50292.8,Rupee,50292.8,Rupee,Wire,0
2022/09/05 20:37,133044,811BA44E0,24216,8156A9660,482.18,US Dollar,482.18,US Dollar,Credit Card,0
2022/09/01 08:53,25634,802194DA0,6269,802E43090,357.1,Euro,357.1,Euro,Cheque,0
2022/09/08 11:03,2,8072DEED0,25,8073EA580,135756.22,Rupee,135756.22,Rupee,Cheque,0
2022/09/02 16:19,1889,80115C8B0,142590,8133AF170,15757.43,US Dollar,15757.43,US Dollar,Cash,0
2022/09/05 01:42,285,80AFFF560,16,80B49FB70,7917.31,Ruble,7917.31,Ruble,Cheque,0
2022/09/05 06:43,5033,8057D21D0,18747,80B17FA00,343.4,US Dollar,343.4,US Dollar,Credit Card,0
2022/09/01 04:47,19589,80DAF1440,17256,8106D9BA0,720.24,US Dollar,720.24,US Dollar,Cheque,0
2022/09/09 07:51,14003,802014BC0,120229,812E262A0,2630.23,Euro,2630.23,Euro,Cheque,0
2022/09/07 00:03,11222,800B63A50,122459,80AE66170,34.93,US Dollar,34.93,US Dollar,Credit Card,0
2022/09/06 10:17,69314,81965B4D1,71172,81ADF6D21,0.029776,Bitcoin,0.029776,Bitcoin,Bitcoin,0
2022/09/02 12:09,22435,80CC5ABF0,115481,80DEA4400,20165.49,US Dollar,20165.49,US Dollar,Cheque,0
2022/09/01 01:05,4894,8029B6070,4894,8029B6070,375.14,US Dollar,375.14,US Dollar,Reinvestment,0
2022/09/10 21:15,12592,806093170,139974,81B359030,8594.77,US Dollar,8594.77,US Dollar,Cheque,0
2022/09/08 20:28,1639,8010FA100,1812,8011F4640,292.28,US Dollar,292.28,US Dollar,Cash,0
2022/09/01 10:58,11,8005B9B90,11046,8010E2DA0,11106.85,US Dollar,11106.85,US Dollar,Cheque,0
2022/09/10 23:04,23,80AFEC300,27,80B503FB0,3212.0,Ruble,3212.0,Ruble,ACH,0
2022/09/02 13:29,14195,801F3EEF0,5312,8028489C0,991.73,Euro,991.73,Euro,Cheque,0
2022/09/08 13:00,6681,803AA6B90,5724,805F92A00,5915351.59,Euro,5915351.59,Euro,ACH,0
2022/09/01 00:13,228776,813F93620,228776,813F93620,189.98,Euro,189.98,Euro,Reinvestment,0
2022/09/09 18:32,1638,8014D0E70,1,8037854E0,40.06,US Dollar,40.06,US Dollar,Cash,0
2022/09/01 22:16,166448,81BE2F930,166448,81BE2F930,705.9,US Dollar,705.9,US Dollar,Reinvestment,0
2022/09/01 12:19,32502,801D27680,32502,801D27680,840.59,Euro,840.59,Euro,Reinvestment,0
2022/09/01 01:50,1720,801952600,11,801ED2B10,2227.18,Euro,2227.18,Euro,Credit Card,0
2022/09/01 21:35,26922,803F964F0,26922,803F964F0,100.12,Yuan,100.12,Yuan,Reinvestment,0
2022/09/04 08:47,70,10042B6A8,117861,816B5ED20,68.18,Euro,68.18,Euro,Cash,0
2022/09/09 22:06,150317,81551F7B0,134241,81551F4E0,3726.29,Euro,3726.29,Euro,ACH,0
2022/09/01 00:16,124476,809837010,124476,809837010,624111.98,Rupee,624111.98,Rupee,Reinvestment,0
2022/09/08 08:58,115943,80CBC8160,18493,80CBD0F60,19.55,US Dollar,19.55,US Dollar,ACH,0
2022/09/01 19:55,115771,8060552F0,221284,81670E530,2804.79,US Dollar,2804.79,US Dollar,ACH,0
2022/09/09 02:00,23410,801928FA0,16739,81380FBB0,1348.03,US Dollar,1348.03,US Dollar,Cheque,0
2022/09/08 17:06,29448,803DC0100,122967,80AD904A0,205.04,US Dollar,205.04,US Dollar,Credit Card,0
2022/09/03 19:33,11701,80CD07350,126413,80CD07210,3506.11,US Dollar,3506.11,US Dollar,ACH,0
2022/09/01 05:09,11,8001348B0,394,800B9E990,419.94,US Dollar,419.94,US Dollar,Credit Card,0
2022/09/10 07:52,21566,802F426B0,25242,802F45D00,2935.47,US Dollar,2935.47,US Dollar,ACH,0
2022/09/01 14:41,8318,805B24D40,65975,81A72D4E0,45.67,US Dollar,45.67,US Dollar,Cheque,0
2022/09/09 00:08,12,80620F7D0,215557,80662E990,720943.76,Yen,720943.76,Yen,Credit Card,0
2022/09/09 00:47,14648,806BBF380,28393,8139CD220,78.13,US Dollar,78.13,US Dollar,Cheque,0
2022/09/09 19:38,337659,812272650,19182,8122725B0,274.6,US Dollar,274.6,US Dollar,Cheque,0
2022/09/08 08:37,14408,801930770,28932,808EDD880,387.88,US Dollar,387.88,US Dollar,Cash,0
2022/09/09 00:15,425,8006B50F0,1835,801DEBC30,4409.16,Euro,4409.16,Euro,Cheque,0
2022/09/01 01:57,12966,80AF859F0,254164,818234AD0,203.95,US Dollar,203.95,US Dollar,Wire,0
2022/09/07 06:31,12202,800EE9830,5082,8026EE150,7187.13,Euro,7187.13,Euro,Credit Card,0
2022/09/04 18:54,70,10042B660,8801,81725B5F0,260.59,US Dollar,260.59,US Dollar,Cheque,0
2022/09/01 00:49,224,800DE7720,224,800DE7720,31856.42,US Dollar,31856.42,US Dollar,Reinvestment,0
2022/09/05 17:54,70850,81A255C41,69314,81A255B01,0.030218,Bitcoin,0.030218,Bitcoin,Bitcoin,0
2022/09/09 15:27,7058,805AD7E10,122416,809356FF0,44.35,Euro,44.35,Euro,Credit Card,0
2022/09/03 11:52,1639,800A7D1F0,1120,800D211A0,23009.4,US Dollar,23009.4,US Dollar,Credit Card,0
2022/09/01 12:02,247270,818B67680,247270,818B67680,913528.98,US Dollar,913528.98,US Dollar,Reinvestment,0
2022/09/01 00:27,214,81A403F01,214,81A403F01,0.199925,Bitcoin,0.199925,Bitcoin,Bitcoin,0
2022/09/09 16:14,21048,80C63CF30,5436,817084990,24049.71,Euro,24049.71,Euro,Cheque,0
2022/09/08 13:02,70,10042B9C0,59954,815ED3F80,47.85,Shekel,47.85,Shekel,Cheque,0
2022/09/09 05:45,47381,8150BBC80,21444,816F9F850,2819.78,Euro,2819.78,Euro,Cheque,0
2022/09/05 16:49,25526,80454E570,221024,807D46760,3281.58,US Dollar,3281.58,US Dollar,ACH,0
2022/09/01 11:25,24820,809B74DF0,24820,809B74DF0,84937830.2,Rupee,84937830.2,Rupee,Reinvestment,0
2022/09/02 23:35,19856,8038ED7A0,23,8038EEF20,180163.23,Yen,180163.23,Yen,ACH,0
2022/09/01 09:55,70,10042B660,14133,8073F1940,5772.82,US Dollar,5772.82,US Dollar,Credit Card,0
2022/09/06 04:06,25634,806BD7210,1126,808903DF0,139.88,Euro,139.88,Euro,Wire,0
2022/09/10 11:54,22129,8015BDB40,28958,801EEA930,1582.33,US Dollar,1582.33,US Dollar,Cheque,0
2022/09/06 22:03,11968,80102B7E0,17831,8074CE750,75.58,US Dollar,75.58,US Dollar,Cash,0
2022/09/02 16:35,40989,80F2F8C50,42130,80F7AED60,2013.35,Australian Dollar,2013.35,Australian Dollar,Credit Card,0
2022/09/05 17:34,70,10042B780,25,80908DC10,2345.88,Rupee,2345.88,Rupee,Cash,0
2022/09/01 01:11,215,810FB5170,215,810FB5170,97.71,Mexican Peso,97.71,Mexican Peso,Reinvestment,0
2022/09/01 06:42,22444,80A10A680,8720,812C26040,692.08,Euro,692.08,Euro,Cash,0
2022/09/09 22:20,11255,805B8BD00,21130,80E2C7140,13277.41,US Dollar,13277.41,US Dollar,Cheque,0
2022/09/02 23:26,216,817FABEF0,164730,817FB2180,10676.46,Saudi Riyal,10676.46,Saudi Riyal,Credit Card,0
2022/09/05 21:49,19856,8045113F0,29592,805C4B0C0,8884.52,Yen,8884.52,Yen,Cheque,0
2022/09/06 05:22,1277,805627040,22661,806B0D160,85.93,US Dollar,85.93,US Dollar,Cash,0
2022/09/04 18:47,13,800076F40,12,8036BD090,127237.84,Yen,127237.84,Yen,Credit Card,0
2022/09/01 02:41,14620,8029ED780,118293,80BA0F6C0,1339.66,Euro,1339.66,Euro,Cheque,0
2022/09/01 04:20,30959,80BF1E570,27,80BF6C4C0,171768.85,Ruble,171768.85,Ruble,Cash,0
2022/09/09 03:45,0,800280A20,25634,80762E040,3228.66,Euro,3228.66,Euro,Cheque,0
2022/09/08 05:35,1217,800713E40,11255,8007B2DB0,6396.47,US Dollar,6396.47,US Dollar,Cheque,0
2022/09/05 08:06,253721,813DA7080,54266,813E01270,561.94,Swiss Franc,561.94,Swiss Franc,Cheque,0
2022/09/07 00:45,1639,80105C360,1639,803C19BE0,149.78,US Dollar,149.78,US Dollar,Credit Card,0
2022/09/10 11:10,70,10042B6A8,228073,80B0B9850,73.93,Euro,73.93,Euro,Cheque,0
2022/09/08 15:08,14162,805EF1FE0,216093,80657C180,318.96,US Dollar,318.96,US Dollar,Cash,0
2022/09/09 18:23,310230,80476DC50,692,80476DA70,1802.21,Yuan,1802.21,Yuan,Cheque,0
2022/09/05 15:45,12966,80286E060,11880,8081B11A0,22233.46,US Dollar,22233.46,US Dollar,ACH,0
2022/09/09 21:50,38273,809597D90,7058,809597C50,546.04,Euro,546.04,Euro,Cheque,0
2022/09/10 04:58,1638,80361BFC0,29158,80511EFC0,109.95,US Dollar,109.95,US Dollar,ACH,0
2022/09/05 18:29,20,8005B17E0,14133,806A0E790,37.14,US Dollar,37.14,US Dollar,Cash,0
2022/09/08 16:37,11,800116990,394,800943960,39.29,US Dollar,39.29,US Dollar,Wire,0
2022/09/03 07:32,4308,80A9C3330,19368,80B8F34B0,12.7,Euro,12.7,Euro,Wire,0
2022/09/03 00:20,1231,800812FE0,11968,806444EC0,2361.39,US Dollar,2361.39,US Dollar,Credit Card,0
2022/09/01 12:51,3671,80315FD10,8720,805B7C0B0,770.12,Euro,770.12,Euro,Credit Card,0
2022/09/03 13:08,35798,811F6D910,115128,811F6D780,15170.24,US Dollar,15170.24,US Dollar,ACH,0
2022/09/06 09:01,7082,80375E6D0,15885,8046465A0,9284.76,Yuan,9284.76,Yuan,Cheque,0
2022/09/09 22:27,70,10042B660,224231,80FF92E10,7415.28,US Dollar,7415.28,US Dollar,Credit Card,0
2022/09/01 00:06,269329,81A4BED01,269329,81A4BED01,0.00209,Bitcoin,0.00209,Bitcoin,Bitcoin,0
2022/09/01 17:41,1639,80063E370,215191,80845A7F0,2247.47,US Dollar,2247.47,US Dollar,Cheque,0
2022/09/08 10:53,5621,803106500,27155,8031B80D0,828.78,US Dollar,828.78,US Dollar,Credit Card,0
2022/09/01 00:28,160417,81A626300,160417,81A626300,315075.76,US Dollar,315075.76,US Dollar,Reinvestment,0
2022/09/01 16:23,11,800783310,11,800783310,1164.36,Euro,1164.36,Euro,Reinvestment,0
2022/09/07 11:04,18,81878F470,217,8187E3A70,74293.85,Saudi Riyal,74293.85,Saudi Riyal,Cheque,0
2022/09/01 00:09,55457,818EC6CE0,55457,818EC6CE0,2189789.3,Euro,2189789.3,Euro,Reinvestment,0
2022/09/05 20:00,19836,806F468C0,121857,80CF1F200,224158484.09,Yen,224158484.09,Yen,ACH,0
2022/09/01 00:12,112659,805354F40,112659,805354F40,39324.43,Yuan,39324.43,Yuan,Reinvestment,0
2022/09/08 20:52,1120,80AE540C0,136360,80FC72570,669.31,US Dollar,669.31,US Dollar,Credit Card,0
2022/09/04 10:56,117301,8182BD970,147509,8182A13E0,2990.62,US Dollar,2990.62,US Dollar,ACH,0
2022/09/02 04:01,216,8172E7DE0,216,817AEBB80,343.5,Saudi Riyal,343.5,Saudi Riyal,Cheque,0
2022/09/01 15:47,11046,800858650,5617,8082D1590,675.64,US Dollar,675.64,US Dollar,Cash,0
2022/09/04 13:41,19970,803C084E0,27,8043680E0,24162.4,Yuan,24162.4,Yuan,Cheque,0
2022/09/01 00:24,29572,806F4C270,29572,806F4C270,1296.41,Yen,1296.41,Yen,Reinvestment,0
2022/09/05 13:16,13,810E53EB0,246242,8112E4500,110264.74,Mexican Peso,110264.74,Mexican Peso,Cheque,0
2022/09/06 00:39,1110,80774BAD0,215191,80778BF60,467.66,US Dollar,467.66,US Dollar,Credit Card,0
2022/09/08 19:31,137564,81317F3E0,19182,8183CF270,269.92,US Dollar,269.92,US Dollar,Cheque,0
2022/09/01 00:08,27425,803F12E10,27425,803F12E10,129.08,Yuan,129.08,Yuan,Reinvestment,0
2022/09/02 19:21,6269,80289B680,20,8093E3980,64.9,Euro,64.9,Euro,Cheque,0
2022/09/06 14:17,1,808DD2250,118314,80BCEFBB0,100.9,US Dollar,100.9,US Dollar,Cheque,0
2022/09/09 16:47,112,8134FFCA0,54266,8148B6300,2845.69,Swiss Franc,2845.69,Swiss Franc,Cheque,0
2022/09/06 07:11,22031,814773560,236259,815119F90,5630.69,US Dollar,5630.69,US Dollar,Credit Card,0
2022/09/01 23:05,239457,815674C80,156915,81B03A1C0,40.55,US Dollar,40.55,US Dollar,Wire,0
2022/09/01 23:21,12,803D780A0,23,8059BDE60,1245191.45,Yen,1245191.45,Yen,Cheque,0
