Bank Name,Bank ID,Account Number,Entity ID,Entity Name
Savings Bank of Portsmouth,316492,80C9A27B0,80156CE00,Corporation #4575
Savings Bank of Watertown,1889,800B3B130,8001A0B80,Partnership #2194
Crytpo Bank #944,369378,81A1170C1,8006D12E0,Partnership #50307
Japan Bank #39,29592,80689CDC0,800E7E3A0,Corporation #42842
France Bank #52,12503,814406A40,800917C20,Partnership #64005
Bank of the North,250515,813694840,8007890C0,Sole Proprietorship #20973
Oasis Trust Bank,369850,8199A5CD0,8012452D0,Corporation #14675
Saudi Arabia Bank #24,63834,817A4ACD0,8013FBB80,Sole Proprietorship #18707
Savings Bank of Watertown,1889,80153B150,8001A2560,Sole Proprietorship #52625
Saudi Arabia Bank #35,164686,81851A6E0,8013B4520,Sole Proprietorship #55317
China Bank #37,5893,8033B8360,800D1A760,Partnership #37146
Israel Bank #86,158927,815C66670,801369BA0,Sole Proprietorship #19424
France Bank #7,1595,800831C70,80086B000,Partnership #73768
Germany Bank #34,423,80038D270,80083E6A0,Sole Proprietorship #27239
Bank of Phoenix,110777,804385E80,8003F84A0,Sole Proprietorship #6878
China Bank #764,114188,80F9F0410,800E31E90,Corporation #20314
Australia Bank #56,141632,80FC4A220,8011386F0,Corporation #47128
Germany Bank #141,12202,80107D720,8008E6E60,Corporation #28749
Bank of Arkadelphia,31694,80C4DE520,80068A0C0,Sole Proprietorship #15889
Germany Bank #1096,116299,8119327B0,800B19540,Corporation #5784
Slovakia Bank #45,1776,8005B7A30,8008938E0,Corporation #28363
Netherlands Bank #27,498,80130FB30,800856C20,Partnership #27293
Slovakia Bank #4,14,801980530,80081F540,Sole Proprietorship #66846
Savings Bank of the West,336414,80DF10D50,8013D43A0,Partnership #7074
Germany Bank #1812,320666,80EDA4F50,800A4B6E0,Partnership #29695
France Bank #502,18076,809034C50,800993760,Corporation #32445
France Bank #7,1595,8003B1FD0,800869B60,Sole Proprietorship #27253
Savings Bank of Helena,25242,80B694F60,80136EF80,Sole Proprietorship #19797
Italy Bank #6,11314,802CE1B60,800A42FA0,Partnership #28171
Germany Bank #23,11437,802A654E0,800BC80F0,Sole Proprietorship #27454
Spain Bank #968,235373,80FFBB4E0,800C33CD0,Sole Proprietorship #33779
Spain Bank #210,25885,80A9A8CE0,800A10160,Partnership #31686
Germany Bank #121,1390,8010AB560,8008BC340,Corporation #28763
National Bank of Seattle,115943,807CA71E0,8004B9A80,Corporation #24216
Bank of Butte,335265,810FED2F0,80156DC00,Corporation #378
Savings Bank of Newport,116648,80863D670,800C81130,Sole Proprietorship #1733
France Bank #112,3671,8017729F0,800808760,Partnership #29795
UK Bank #3,24,80CB80E70,80104FB50,Partnership #44027
Australia Bank #27,241503,80F6FADF0,801185B80,Partnership #658
First Bank of the West,11337,80CE626F0,800410D80,Partnership #16015
Savings Bank of Detroit,394,80A78C770,8000D3120,Sole Proprietorship #68823
Canada Bank #0,8,80D300680,80110EF10,Sole Proprietorship #45063
National Bank of Albany,2175,801E43D00,8001D36C0,Partnership #4193
Spain Bank #7725,336009,80D104610,800C9A8F0,Corporation #52092
Bank of Philadelphia,1217,803626210,801337D40,Sole Proprietorship #8145
Germany Bank #40,5724,8041B2C90,800B3FB40,Partnership #15755
Brazil Bank #39,148698,811DA6F90,80122B930,Corporation #6594
Oak Savings Bank,23410,8059DBB90,800291B40,Corporation #19979
Canada Bank #0,8,80C3806A0,801089BE0,Corporation #46114
Japan Bank #296,17180,806618CA0,800EBA140,Corporation #23888
Greece Bank #8,600,800F12EA0,800876420,Partnership #27187
National Bank of Albany,1638,8015B31A0,800174EA0,Sole Proprietorship #67156
Crytpo Bank #130,270392,81A381EB1,8001A7780,Sole Proprietorship #51014
Mexico Bank #17,113,815903A30,80132E910,Sole Proprietorship #49430
National Bank of New York,31635,81925CB30,800687920,Sole Proprietorship #59420
Savings Bank of Indianapolis,12702,80960CDB0,800434240,Corporation #68929
First Bank of Laramie,226660,80DEAB0C0,801335E60,Partnership #2704
First Bank of Boston,27234,80B6533C0,800386300,Partnership #52146
Crytpo Bank #13,169804,81A1BA4D1,8015B10D0,Partnership #953
India Bank #266,224574,80A0E9DD0,800F95810,Partnership #68824
Cyprus Bank #278,31615,810CDBD50,800C08870,Partnership #54140
Bank of New Orleans,24317,8063F7C50,8002DB9C0,Sole Proprietorship #55459
National Bank of Columbus,12,8001004E0,80007BB30,Partnership #66
Crytpo Bank #36,169309,81A8AAC71,8003706C0,Partnership #53322
Saudi Arabia Bank #4,216,817206EF0,8013CAA20,Corporation #4606
Israel Bank #34,257433,81546CE70,80133E180,Sole Proprietorship #9017
Slovakia Bank #4,14,810E805F0,8011CB760,Sole Proprietorship #4823
India Bank #47,126843,80A17BF70,800FD3190,Corporation #44572
China Bank #131,29779,803B22B70,800D86A30,Partnership #37587
Spain Bank #237,211362,805D4D3F0,800ACFBA0,Sole Proprietorship #63345
Bank of Bridgeport,36096,80D568300,8010DDE10,Corporation #46407
Germany Bank #551,219815,80B1D5090,800846620,Corporation #33313
Russia Bank #21,16,80AD00B30,801001340,Corporation #45219
Germany Bank #106,3,8003802B0,800B9DB60,Sole Proprietorship #21039
China Bank #17,7082,80465D630,800D329A0,Partnership #71883
First Bank of Philadelphia,19229,806058DB0,8003DE220,Sole Proprietorship #8963
Plateau Savings Bank,21260,801E18530,800145CE0,Sole Proprietorship #4321
First Bank of Danbury,20,800480940,80115D1A0,Sole Proprietorship #12874
Savings Bank of Denver,212996,805800140,8012BFEF0,Corporation #8208
First Bank of Danbury,20,800780940,800059720,Partnership #12000
Italy Bank #86,233908,811B0D950,800B05EC0,Corporation #35243
Desert Bank,127980,81699F550,80126C200,Corporation #2150
India Bank #85,72,808A02750,800F15930,Sole Proprietorship #41767
Savings Bank of Denver,212996,805C80150,800446880,Partnership #50444
India Bank #2,25,805C00FE0,800F011C0,Partnership #55710
Oasis Credit Union,1291,8015286E0,8000B1220,Corporation #3237
Crytpo Bank #83,169335,8197AB801,8015B10D0,Partnership #953
UK Bank #11,33846,80C721880,801085EE0,Sole Proprietorship #22624
Italy Bank #113,14195,80743BA00,800CA6690,Corporation #31044
Saudi Arabia Bank #34,263431,8184A8000,801408AC0,Partnership #3779
Mexico Bank #28,45977,810F9CF00,8011ECE30,Corporation #27878
China Bank #6,210277,804C2B100,800DC0AB0,Sole Proprietorship #38846
Heath Cooperative Bank,149329,81483AB00,80077EB40,Sole Proprietorship #21874
First Bank of Philadelphia,19229,80C158D00,8003E0020,Corporation #15955
National Bank of Fairfield,1807,807F38400,80018E280,Corporation #4656
Crytpo Bank #14,69314,81A3F6291,8015B10D0,Partnership #953
Japan Bank #42,18,817200AA0,8013C09A0,Partnership #20186
Switzerland Bank #73,253402,813AEEEA0,8012E7850,Sole Proprietorship #5194
Austria Bank #289,116186,80C62EEA0,800B15680,Partnership #57903
Belgium Bank #21,425,802F0D730,800B70800,Sole Proprietorship #57318
Bank of Indianapolis,11046,8007D90B0,8000FDFA0,Corporation #51394
China Bank #49,27,804080E40,800D00E80,Partnership #37878
National Bank of Seattle,224,800C073C0,80008E480,Corporation #4017
Brazil Bank #149,349333,811FA4950,80121E770,Sole Proprietorship #47970
India Bank #2,25,80C400F50,801081E60,Partnership #44400
Germany Bank #34,423,80088D050,800A0FD40,Partnership #26888
Plandor Community Bank,1394,80022BAD0,80138EBE0,Corporation #263
Belgium Bank #59,25384,8107997D0,8009DFE60,Corporation #35527
First Bank of Hartford,1422,80022C4D0,8000D58A0,Corporation #259
Italy Bank #6282,36891,806E00E60,800C6EA50,Partnership #60850
Crytpo Bank #33,268792,81994FFE1,8015B10D0,Partnership #953
Japan Bank #45,29572,80401C1E0,800E59D40,Corporation #42470
Japan Bank #15,215478,805BCD8E0,800E98AA0,Sole Proprietorship #64000
Germany Bank #1096,116299,806232660,800B17320,Partnership #69909
Germany Bank #281,17059,804D95260,800A505C0,Corporation #54701
Bank of the West,311662,80D00B4F0,800C85D70,Partnership #767
Bank of Tuscon,16456,80B8827F0,800E64220,Sole Proprietorship #55576
Bank of Philadelphia,29158,81690F0F0,8007271A0,Corporation #9965
Saudi Arabia Bank #8,263025,817F9BB70,8013DF040,Sole Proprietorship #50405
Bank of Detroit,11305,807861770,80040B6C0,Partnership #10995
Brazil Bank #1,49014,8126FBF00,801093480,Sole Proprietorship #48001
Canada Bank #28,17,80D080C80,8010A62A0,Sole Proprietorship #45101
Japan Bank #36,215278,805A47300,800E91500,Corporation #23279
Netherlands Bank #384,32125,80BC6BA80,800C11DB0,Partnership #32359
Bank of Lacrosse,32387,800F74590,80152E5B0,Sole Proprietorship #15237
Bank of Fort Wayne,3529,8002EE090,800BB3C40,Corporation #6034
China Bank #9,110080,803AF0410,800E3DC90,Partnership #25830
Mexico Bank #24,245729,810E7F490,8011E9B10,Sole Proprietorship #47649
India Bank #59,128682,80E235120,800FF8200,Partnership #60099
City National Bank,21828,80112A620,80019A6E0,Sole Proprietorship #2926
Savings Bank of Seattle,28102,801EEE730,80133C8C0,Sole Proprietorship #15966
National Bank of the West,221024,80AE7B430,801262180,Sole Proprietorship #14477
China Bank #76,19931,803DEE9B0,800DC5590,Sole Proprietorship #37194
France Bank #58,17036,807714230,800A47880,Sole Proprietorship #15606
Italy Bank #18,0,800280430,80080DD00,Sole Proprietorship #30904
Desert Savings Bank,21393,80561CCB0,800150320,Corporation #8002
Portugal Bank #122,22264,801637850,800AA3C80,Sole Proprietorship #32368
Germany Bank #1958,237318,81BD78750,800C163B0,Partnership #34769
Switzerland Bank #21,253379,8142EE5D0,8012E6B70,Sole Proprietorship #23559
Brazil Bank #17,214,812106F50,80120C580,Sole Proprietorship #64508
China Bank #13,29844,806EA4E50,800D92EB0,Corporation #41519
Plandor Community Bank,1394,8020ABD50,8000C68C0,Sole Proprietorship #4551
Brook Savings Bank,13354,801A21160,801300BC0,Sole Proprietorship #4114
UK Bank #2,232857,80C36C8E0,801063EB0,Sole Proprietorship #52360
Mexico Bank #518,346516,81134CE70,801205040,Corporation #54836
First Bank of Huron,2692,8152D4670,8012B4E40,Sole Proprietorship #17893
India Bank #43,19414,8089DEF70,800F27B70,Corporation #43595
China Bank #88,26,802200980,800D6E710,Corporation #41772
Saudi Arabia Bank #31,263186,817620D80,8013EE8E0,Sole Proprietorship #12660
Australia Bank #26,40989,810500A00,8011499E0,Sole Proprietorship #47488
Crytpo Bank #69,69521,81ABFCC11,8006D12E0,Partnership #50307
Crytpo Bank #49,272545,81B4C5411,8006D12E0,Partnership #50307
China Bank #97,10488,808747890,800DBB910,Partnership #5103
China Bank #78,26922,802CC9190,800D35300,Corporation #39631
Bank of Philadelphia,1217,800926410,8000978C0,Sole Proprietorship #1517
National Bank of Montpelier,13395,8034A2D21,8000B8B60,Sole Proprietorship #55343
Canada Bank #603,339216,80E2E8CA0,8010D6310,Corporation #47084
Bank of Harrisburg,126223,80C568320,801522390,Partnership #9408
Italy Bank #524,230153,819818020,80093A6A0,Sole Proprietorship #30662
Canada Bank #28,17,813600C30,801308260,Corporation #49089
France Bank #133,25788,804B25AB0,800998D60,Partnership #29643
Mexico Bank #4,19,810180D30,801124A60,Partnership #63532
Australia Bank #62,142223,80FF5C340,801196AA0,Sole Proprietorship #53847
France Bank #71,27436,8049592C0,800A71760,Partnership #29678
First Bank of New York,1812,802FB8ED0,8013D36E0,Sole Proprietorship #5562
Japan Bank #59,117743,8067DF350,800EC3D00,Sole Proprietorship #40818
China Bank #13,29844,808C24ED0,800D93090,Partnership #7320
Regents Community Bank,3100,803860AD0,800252DC0,Sole Proprietorship #62171
National Bank of Fairfield,1807,804438350,80018C9C0,Corporation #6883
Bank of Fairfield,35615,81A3D8B60,800ED8570,Partnership #8549
India Bank #179,323687,809403760,800F144F0,Corporation #43475
Slovakia Bank #45,1776,800DB7CE0,800AFE140,Sole Proprietorship #13127
UK Bank #8,133159,80C9C1760,801062510,Sole Proprietorship #44822
First Bank of Lincoln,24633,804381860,8002E53C0,Sole Proprietorship #6875
Bank of Augusta,24216,805CF48F0,80139A510,Partnership #8345
Savings Bank of Portland,27175,805551770,8015511B0,Sole Proprietorship #1349
Saudi Arabia Bank #34,263431,817828770,801405B80,Sole Proprietorship #11303
China Bank #90,110265,8044F5870,800DA8AD0,Sole Proprietorship #38464
Slovakia Bank #4,14,8039803F0,8008226C0,Sole Proprietorship #29965
China Bank #28,15168,8042DA500,800CF4A40,Corporation #39460
Arbor Federal Bank,22481,80243ED80,80129F3A0,Partnership #4762
First Bank of Danbury,20,819500F11,8003706C0,Partnership #53322
National Bank of Lincoln,1439,80562CA90,8011DC950,Corporation #18770
Canada Bank #96,336180,80D289F20,801095660,Corporation #46281
Crytpo Bank #38,171546,81ADF0821,8015B10D0,Partnership #953
Slovakia Bank #4,14,810D80220,8011CA560,Sole Proprietorship #47603
India Bank #54,223950,8091D6220,800F70550,Partnership #41729
Sunrise Credit Union,12592,802689D30,8013781E0,Corporation #4861
Switzerland Bank #30,53736,813F0F130,8012E3A90,Corporation #48991
Canada Bank #43,136009,80E31A1B0,8010C8900,Sole Proprietorship #45910
France Bank #137,27737,802DE29B0,800A7E420,Partnership #28953
Germany Bank #551,219815,812BD56C0,8009BBC20,Sole Proprietorship #30748
Brazil Bank #28,248957,812163BC0,801266F00,Sole Proprietorship #6849
Netherlands Bank #27,498,80030FC40,800853D40,Corporation #29053
Savings Bank of Madison,11,8001800C0,80006F150,Sole Proprietorship #197
Saudi Arabia Bank #309,363794,817A68C50,801477340,Partnership #57115
Saudi Arabia Bank #14,163470,8191F4250,8013ED3C0,Corporation #58840
Japan Bank #40,4,808000750,800E67880,Sole Proprietorship #41302
Germany Bank #85,24070,8019F0650,80096E760,Partnership #51031
Germany Bank #19,1768,801837150,80088C8A0,Sole Proprietorship #27913
National Bank of Watertown,23041,8138505D0,80025CA40,Partnership #20652
Savings Bank of Detroit,394,80600C050,8000D2040,Sole Proprietorship #8911
France Bank #52,12503,80B786EE0,80080E960,Sole Proprietorship #27231
Australia Bank #149,42130,80F9A4C60,801193960,Corporation #47605
Canada Bank #17,235889,80E4CBDE0,8010DC9B0,Sole Proprietorship #53806
First Bank of the West,13210,804A9C860,80025FA60,Partnership #50670
Switzerland Bank #16,219,814E068F0,8012AD670,Corporation #69599
Germany Bank #586,110851,807E884F0,800ABD800,Sole Proprietorship #31371
National Bank of Boston,33453,801415300,800FA26B0,Sole Proprietorship #3165
Germany Bank #56,5383,808BA8600,800A09240,Corporation #54342
China Bank #107,12307,804F80C00,800DF4C70,Sole Proprietorship #39102
Bank of Houston,14162,8055BAC80,80045D320,Partnership #7752
Sunrise Credit Union,12592,804909D80,800211A60,Corporation #8664
Crytpo Bank #36,169309,819FAAB11,8015B10D0,Partnership #953
China Bank #534,310463,8054E5A20,800E37AD0,Corporation #66719
National Bank of Philadelphia,11047,800F59620,8012D2D10,Partnership #6911
First Bank of Detroit,25443,80A79B420,800F7CCF0,Sole Proprietorship #1915
Saudi Arabia Bank #3,217,817206920,8013AFBA0,Partnership #62792
Portugal Bank #122,22264,801DB79A0,80090A340,Corporation #29482
Plateau Savings Bank,21260,8101983A0,80014A6C0,Partnership #18515
Israel Bank #9,115,817303C30,8013AEEE0,Sole Proprietorship #49939
Israel Bank #42,158021,81684A740,801353260,Sole Proprietorship #7615
Japan Bank #50,15726,8064EB2C0,800EA02E0,Corporation #42702
Savings Bank of Milford,234736,810AA7DC0,8006CA8A0,Sole Proprietorship #19381
Savings Bank of the North,11255,8008DFE40,800129B40,Sole Proprietorship #1446
China Bank #119,19521,804FE2550,800E3C3F0,Sole Proprietorship #32783
India Bank #2,25,808B00950,800F02D80,Partnership #41351
China Bank #26,114919,80BC87650,800E3AFD0,Corporation #41736
National Bank of Lincoln,1439,800B2CA50,800154060,Partnership #1854
Saudi Arabia Bank #78,363332,818D5A7E0,8013C9CA0,Corporation #51259
Bank of Detroit,247593,816BB9160,8013B5FC0,Sole Proprietorship #2958
Savings Bank of the North,11255,80095FE60,801516710,Sole Proprietorship #1563
India Bank #26,5,800080760,800EF3A30,Corporation #43466
National Bank of the East,118681,80A07C960,80052B440,Corporation #56366
Germany Bank #141,12202,802EFD0F0,800A5E3C0,Corporation #30392
Brazil Bank #31,249566,8128F6AF0,801283100,Partnership #54621
Canada Bank #36,235735,80D446E70,8010D2E30,Sole Proprietorship #56496
Bank of Philadelphia,1217,803626680,800F2DAD0,Sole Proprietorship #41857
Brazil Bank #14,116,811D83C00,801210410,Sole Proprietorship #47969
Savings Bank of Columbus,22364,80243A800,800203C20,Sole Proprietorship #4953
Savings Bank of Springfield,2860,801759010,8013A0ED0,Corporation #2399
France Bank #267,220270,809363110,800B6D780,Partnership #30920
The Pine Thrift,349,80180A8A0,8011E37D0,Partnership #2193
Mexico Bank #4,19,80BD80FA0,801005180,Partnership #43563
Germany Bank #99,15763,802DECFA0,8009ED540,Corporation #51934
Netherlands Bank #49,12274,801D7FF20,8008F1D40,Sole Proprietorship #54722
Arbor Credit Union,124222,80AC29930,8012F6410,Corporation #10650
Bank of Miami,12063,801B789B0,8012F24F0,Sole Proprietorship #1253
Germany Bank #23,11437,800CE50B0,8008C4880,Corporation #28597
First Bank of Harrisburg,39697,813A58EB0,800716C80,Partnership #60212
National Bank of Portland,14648,8057C9A30,8004746C0,Partnership #54792
First Bank of Portland,1,8005006B0,800064120,Corporation #539
Netherlands Bank #27,498,80030FF40,800988E60,Sole Proprietorship #25338
Savings Bank of the North,3653,8015F24C0,8013E5AE0,Corporation #3368
Switzerland Bank #23,153607,813AC05C0,8012DF810,Partnership #7948
National Bank of Pittsburgh,129402,81494BB40,80065B120,Partnership #21424
Dawn Bank,25526,80329DD40,80033A4C0,Corporation #5674
Acme Federal Bank,333869,80DA410D0,800CBEBB0,Partnership #10447
Saudi Arabia Bank #4,216,817386A50,8013AEEE0,Sole Proprietorship #49939
Belgium Bank #21,425,80130D2D0,800988E60,Sole Proprietorship #25338
China Bank #111,8997,805119400,800D5B850,Sole Proprietorship #38139
Brazil Bank #97,349265,812322E10,8012284F0,Sole Proprietorship #61066
Desert Cooperative Bank,29448,806098290,801560270,Sole Proprietorship #2749
Saudi Arabia Bank #6,163233,8174ED610,8013D4040,Corporation #16961
Greece Bank #8,600,800F12A90,8008763C0,Corporation #28703
Oak Savings Bank,23410,80CE5BF90,800293580,Corporation #16795
Bank of Indianapolis,11046,800E59590,8000FF5C0,Corporation #68133
Crytpo Bank #66,70874,81AFA6BA1,80050C700,Partnership #50309
Japan Bank #42,18,813580FA0,8012B3F40,Sole Proprietorship #48846
National Bank of Fairfield,1807,804938120,80018CCC0,Partnership #7852
China Bank #78,26922,802CC93B0,800CEBBF0,Corporation #65659
National Bank of Pittsburgh,214527,805B2F930,8012CEF50,Corporation #8435
Savings Bank of Madison,11,800500330,800E11270,Partnership #674
City National Bank,18324,80823CCB0,800520C40,Partnership #58391
First Bank of Huron,1277,803EA7830,80013E5E0,Partnership #6351
Australia Bank #1043,341356,80F62B0C0,8011C55F0,Partnership #61043
France Bank #2232,29433,811617A40,800A42760,Corporation #31900
Saudi Arabia Bank #14,163470,8175741C0,8013E8740,Corporation #1345
Dawn Savings Bank,210700,809D380D0,8012945C0,Sole Proprietorship #1110
First Bank of Danbury,20,803380CD0,800839E20,Sole Proprietorship #29852
Oasis Credit Union,119593,80C799250,80054E580,Sole Proprietorship #55592
First Bank of the West,11222,800E5EDE0,8004F7280,Sole Proprietorship #64673
Brazil Bank #26,48719,812272160,8012343B0,Sole Proprietorship #531
India Bank #74,224943,80A5F5160,800FA8330,Corporation #2616
France Bank #52,12503,803086D60,800914620,Sole Proprietorship #31778
Australia Bank #124,41428,80FA0ECF0,801170140,Corporation #57840
Canada Bank #15,36524,80DEF50F0,8010F8850,Sole Proprietorship #58863
Japan Bank #45,29572,80661C4F0,800E78140,Sole Proprietorship #57551
Greece Bank #1787,238911,8145A9970,800C54C50,Corporation #65601
Japan Bank #18,117286,8069D1400,800E54A60,Corporation #42422
Savings Bank of Newport,4894,803B98800,801327740,Corporation #5281
Latvia Bank #605,212108,8093E4100,800AD4600,Partnership #54065
Baltech Cooperative Bank,121335,810E4FC80,80059B360,Sole Proprietorship #19601
First Bank of Portland,1,802D80790,8014B9370,Partnership #5286
Mountain Bank,26453,8054BAD90,800372660,Corporation #7886
India Bank #17,123957,808FA1DA0,800EF3B20,Corporation #43513
Bank of Milford,2545,80564FFA0,80141FCC0,Partnership #16357
Plandor Community Bank,1394,80032BE20,8000C1B20,Corporation #359
Germany Bank #23,11437,8016651C0,8009057C0,Sole Proprietorship #23510
Canada Bank #0,8,80C400340,80104D1B0,Corporation #45791
India Bank #43,19414,808C5EC40,800F27F30,Sole Proprietorship #41875
Italy Bank #75,27387,80A157AD0,800BC8A70,Corporation #33283
Belgium Bank #21,425,80088D3D0,80084B020,Sole Proprietorship #31295
Sunrise Credit Union,27967,80C4E98D0,80063C9E0,Partnership #15379
National Bank of Omaha,121007,8136C50D0,800587000,Sole Proprietorship #20999
Australia Bank #38,241469,80FEF99E0,801184420,Corporation #47808
Savings Bank of Madison,11,80D2002E0,80109A970,Corporation #51172
China Bank #76,19931,803BEEAF0,800D7BCF0,Corporation #59840
Portugal Bank #122,22264,8013B7B80,80091AAC0,Sole Proprietorship #27514
First Bank of Portland,1,800780700,80142BC00,Partnership #1166
India Bank #58,23809,808EE8700,800F6C1B0,Sole Proprietorship #42004
Bank of Portland,152229,816E95500,800790460,Partnership #23280
First Bank of Laramie,115128,80628DB80,800487EA0,Corporation #9319
Spain Bank #17,2293,802847D10,800A2FF60,Partnership #31552
India Bank #2,25,808E80B10,800F039E0,Corporation #55817
Spain Bank #124,212418,8105EE6A0,800868340,Corporation #35357
Brazil Bank #17,214,811E86CB0,80120AA20,Corporation #9
Belgium Bank #21,425,802B0D330,80084F520,Corporation #36767
Canada Bank #18,10,80D0802C0,80110EF10,Sole Proprietorship #45063
