Bank Name,Bank ID,Account Number,Entity ID,Entity Name
First Bank of Portland,1,80018DDE0,800062EC0,Partnership #4295
Mountain Cooperative Bank,10416,807BDFA10,80126BDE0,Corporation #25
First Bank of the West,11337,8076A1840,801518830,Sole Proprietorship #11095
Desert Savings Bank,21393,800C5CC00,80125A250,Partnership #2073
Arbor Community Bank,21414,800CE6BE0,80015CBA0,Sole Proprietorship #68778
Flagstone Trust Bank,6314,8074BD760,80120B3E0,Partnership #22436
National Bank of Milford,23319,80738CA40,8011C20F0,Partnership #21943
Plandor Trust Bank,219425,8079BC780,800556200,Partnership #11067
Mountain Bank,26453,807157F10,80117BD20,Corporation #10527
First Bank of Phoenix,35679,807578890,801536530,Sole Proprietorship #13094
Desert Bank,5621,807582E50,80127C3E0,Corporation #10725
Mountain Cooperative Bank,10416,807B8E740,801283D80,Corporation #19135
Bank of Detroit,15640,806429B40,800326DC0,Corporation #9552
Savings Bank of Providence,115481,8075654B0,8004A2620,Corporation #11015
National Bank of the East,118681,807A33110,80052AAE0,Sole Proprietorship #51211
Bank of Los Angeles,18084,80760D000,8003944C0,Corporation #11101
Savings Bank of Detroit,11483,807CDDEB0,8011B6460,Partnership #10155
Savings Bank of Denver,212996,807305780,8013F2C60,Sole Proprietorship #14849
National Bank of Portland,14648,8076570A0,800475080,Corporation #17776
National Bank of Newport,11671,8061F9580,800420760,Sole Proprietorship #9252
Bank of Indianapolis,11046,8073FAB90,800102E60,Sole Proprietorship #10691
Arbor Bancorp,215107,807CF1850,8012C15D0,Corporation #11710
The Pine Thrift,117694,807603950,8013722A0,Partnership #8436
First Bank of Chicago,18990,80781B770,801409FC0,Corporation #5623
National Bank of Chicago,22224,807736420,8013EC700,Corporation #3725
Sea Community Bank,318626,807626260,800247500,Corporation #7664
First Bank of Lincoln,24633,8076794A0,8012FC560,Sole Proprietorship #11072
Plandor Community Bank,1394,8015504B0,8000C5D80,Partnership #7252
National Bank of Helena,13474,807AB37A0,801389B20,Corporation #11495
First Bank of the Valley,27155,807BEF4E0,80117C520,Partnership #11270
City National Bancorp,13243,805CE3270,80044E0C0,Partnership #8328
National Bank of Portland,14648,807483ED0,800C510B0,Sole Proprietorship #19259
National Bank of Philadelphia,11047,8008899A0,8012FAC20,Partnership #1346
Bank of Detroit,11305,807159300,80040B300,Sole Proprietorship #56772
Oasis Credit Union,1291,8075946D0,8000B3F80,Corporation #8372
Savings Bank of Harrisburg,24523,807CDDCD0,800F505F0,Partnership #5348
National Bank of Milford,23319,8063429A0,80027A1E0,Corporation #67871
Bank of Arkadelphia,15786,8079D0A20,80123BBD0,Sole Proprietorship #1451
Desert Bank,5621,80271AE90,80153AB30,Partnership #4948
Regents Community Bank,3942,8079B8C30,800888260,Sole Proprietorship #66079
First Bank of Newbury,320043,807410610,8013335E0,Corporation #1028
National Bank of Indianapolis,3389,807CE3210,801419680,Partnership #7739
Bank of Los Angeles,18084,807561540,8011D3130,Partnership #534
National Bank of Montpelier,13395,803B29B20,8002740A0,Corporation #50137
Savings Bank of Pittsburgh,215239,807CE9AE0,8011AE7C0,Partnership #650
National Bank of Fort Wayne,18270,807473830,801188DE0,Corporation #20746
Bank of Detroit,11305,807260C10,80040B420,Corporation #10615
Bank of Indianapolis,18890,8073164A0,8011D3C70,Corporation #7832
National Bank of Dallas,6045,804765280,800353AC0,Sole Proprietorship #59068
National Bank of Omaha,215721,8066D5BE0,8004C02A0,Sole Proprietorship #51200
Brook Credit Union,22185,803BB0C40,801470140,Corporation #3445
Bank of Miami,12063,8042CB9D0,8001B27A0,Sole Proprietorship #52682
First Bank of the Valley,13821,8061FBBA0,8002BA5A0,Corporation #53816
Heath Credit Union,35265,80735B7F0,800E319B0,Sole Proprietorship #2634
First Bank of Lincoln,24633,80736E600,800EE8ED0,Corporation #10770
Bank of Indianapolis,11046,8062C3E40,8001029E0,Partnership #9127
Bank of Detroit,11305,807C757A0,800CAD790,Partnership #61191
First Bank of Houston,14408,806BC10F0,8002D6780,Sole Proprietorship #18936
First Bank of the West,13210,807A06DF0,8014323C0,Corporation #22268
Savings Bank of Detroit,394,807B22FA0,80143B9C0,Sole Proprietorship #1828
Savings Bank of Providence,11770,8011F4950,8005F6AE0,Corporation #1464
Bank of Madison,3730,807BDFB00,8014A24D0,Partnership #13506
Sappo Credit Union,32658,807C6EF00,800F32050,Sole Proprietorship #14671
First Bank of Philadelphia,19229,805F1AC30,801292F80,Partnership #22029
First Bank of the West,11222,806188EF0,800125EC0,Sole Proprietorship #12363
First Bank of Huron,2692,807CBC950,800236100,Partnership #62896
National Bank of Billings,531,8036357B0,8000E5EE0,Sole Proprietorship #6128
First Bank of Chicago,18990,80729AC80,800543720,Partnership #10341
Golden Community Bank,219705,807AB82F0,801534910,Partnership #11162
